id,crpname_eg,lat,lon,20231016,20231109,20231203,20231227,20240108,20240120,20240225,20240308,20240320,20240401,20240413,20240425
51,rice,23.36130325602084,76.10502709790673,-10.38275633673755,-11.540345817703518,-6.95842418846394,-11.320436739908144,-11.73299930451316,-13.953308006631854,-11.099931819744937,-10.226727725488502,-14.46996862854835,-12.5645566738513,-11.426461758521697,-12.59525458698512
52,rice,23.355629929587423,76.0487221662661,-9.34736957554562,-3.454027088612292,-9.143284913157856,-9.52853904564607,-13.111275836130895,-11.07282953501942,-11.44299513329348,-10.30370735304458,-10.31565232080749,-10.33387357457888,-7.606027658699327,-10.137465148917975
53,rice,23.334825657512805,76.02262963696923,-6.934923676346693,-6.3470621578145,-6.462723506679508,-10.39032079968128,-6.9378613695208085,-10.381498109382758,-8.943582309030717,-10.195922984260466,-12.511082929638526,-9.133202882134407,-11.49517267634846,-12.990605270771686
54,rice,23.372018877241217,76.03018273755517,-8.132023369362505,-6.421859991533935,-7.24545570571383,-9.58095752993794,-12.259030041271725,-10.03964478865795,-8.778028030066247,-10.263732480531528,-10.764763456650112,-10.043375825841771,-11.91799741422308,-9.136802948541014
55,rice,23.390296467512453,76.04528893872704,-11.612532099019626,-7.022920302924627,-10.651821403840884,-12.12488602490735,-12.4988133887174,-15.084206073459992,-9.353734066870086,-14.045852118959566,-13.584326676407766,-14.505032537693925,-11.094024238829064,-13.59200193014816
56,rice,23.39659850024453,76.03258599683251,-9.451882337888446,-11.823712858309266,-7.330764924072585,-6.787806669076257,-7.59549409884758,-8.551981449845286,-8.040389200806336,-11.82066430104368,-10.703245318089438,-8.441650641877898,-11.924067695784151,-10.14815363953145
57,rice,23.405105768708825,76.05112542554345,-11.982133926210976,-11.9285399698764,-12.90036246226282,-13.64738081989585,-10.14376457740015,-16.3033487394893,-11.77882903154053,-9.870240054504515,-11.929275537706514,-11.72473269114394,-9.58419831477848,-9.196868121754044
58,rice,23.402585153560807,76.07309808179345,-9.486382945327067,-11.190691417232594,-7.828575145188578,-10.80503544939958,-10.086259420079466,-12.299035036671311,-14.66674998344933,-17.94022107957342,-14.838954712280795,-11.919209885870965,-10.894595203132804,-8.900785439548486
59,rice,23.41046191652838,76.06211175366845,-10.27547821575077,-9.013076727483504,-8.048582410149688,-6.800645243882984,-9.634690150260536,-9.129899217331936,-11.568687462052196,-15.750026418449114,-13.413208198168046,-9.295219657086696,-8.86533874695129,-8.169079045271511
60,rice,23.39880414085312,76.06348504468407,-7.429461903690536,-7.38230369798363,-6.57318009792014,-14.469456048033294,-7.299812416385234,-8.392988625188266,-10.364572431925552,-10.085188818980704,-10.87758473093342,-13.40686914776054,-11.001826601064224,-8.702343992485229
61,rice,23.39628340572997,76.05833520337548,-12.344395782639436,-12.087111228118395,-6.609206521433234,-12.876059890859462,-12.62732274849948,-11.667543670803846,-15.435125043120308,-10.981174194183062,-10.889386338839362,-10.99246925826758,-11.01170080202063,-10.08176723977423
62,rice,23.38556974619292,76.05490197583642,-8.590169697547303,-12.904836786406635,-9.086601831285352,-13.05600109366342,-9.065881858541854,-9.146253456472644,-12.459570853983484,-9.925609898164536,-14.189329581242662,-15.079093689913355,-11.489116153437656,-11.363694604756825
63,rice,23.39533811768794,76.07103814527001,-12.626244782994112,-10.8302004406399,-13.294891227463426,-10.690984719697706,-11.176458342228257,-17.83319658389035,-11.418299575851972,-14.601015652567018,-11.4282318055912,-12.534358984524836,-12.093999142481156,-10.33201255291718
64,rice,23.389666247747265,76.07584466382471,-11.633064372461098,-9.3298670516414,-11.73588606181864,-12.696434977169869,-14.01731381366078,-16.044365299830723,-10.457125347130129,-8.563481598551206,-11.363551094902514,-7.471767120038701,-8.85336337080733,-11.31656739229739
65,rice,23.390926684279297,76.06794824048485,-12.041363687829964,-11.580873699966748,-9.14875827295054,-11.567479397719696,-12.746211101579306,-13.260489017207316,-13.751813669531307,-16.705235821351515,-13.751418738346876,-13.448446212057156,-10.347676706994664,-14.70205434220796
66,rice,23.38178824772144,76.06314172193017,-7.1338281996081445,-12.98811767928203,-12.041195167087448,-11.369304061426364,-11.065573055574982,-11.051724573153397,-16.706613445582988,-13.47202597792693,-12.649089693020697,-10.83016949353576,-10.021549992052671,-12.350649381571008
